Дата,Город,PM25
2025-11-24,Казань,40
2025-11-24,Новосибирск,45
2025-11-24,Екатеринбург,49
2025-11-24,Красноярск,53
2025-11-24,Челябинск,56
2025-11-24,Омск,59
2025-11-24,Уфа,60
2025-11-24,Волгоград,61
2025-11-25,Москва,36
2025-11-25,СПб,40
2025-11-25,Казань,45
2025-11-25,Новосибирск,49
2025-11-25,Екатеринбург,53
2025-11-25,Красноярск,56
2025-11-25,Челябинск,59
2025-11-25,Омск,60
2025-11-25,Уфа,61
2025-11-25,Волгоград,62
2025-11-26,Москва,41
2025-11-26,СПб,45
2025-11-26,Казань,49
2025-11-26,Новосибирск,53
2025-11-26,Екатеринбург,56
2025-11-26,Красноярск,59
2025-11-26,Челябинск,61
2025-11-26,Омск,62
2025-11-26,Уфа,62
2025-11-26,Волгоград,62
2025-11-27,Москва,45
2025-11-27,СПб,50
2025-11-27,Казань,53
2025-11-27,Новосибирск,57
2025-11-27,Екатеринбург,59
2025-11-27,Красноярск,61
2025-11-27,Челябинск,62
2025-11-27,Омск,62
2025-11-27,Уфа,62
2025-11-27,Волгоград,61
2025-11-28,Москва,36
2025-11-28,СПб,40
2025-11-28,Казань,43
2025-11-28,Новосибирск,45
2025-11-28,Екатеринбург,47
2025-11-28,Красноярск,48
2025-11-28,Челябинск,48
2025-11-28,Омск,48
2025-11-28,Уфа,47
2025-11-28,Волгоград,46
2025-11-29,Москва,40
2025-11-29,СПб,43
2025-11-29,Казань,46
2025-11-29,Новосибирск,47
2025-11-29,Екатеринбург,48
2025-11-29,Красноярск,49
2025-11-29,Челябинск,48
2025-11-29,Омск,48
2025-11-29,Уфа,46
2025-11-29,Волгоград,45
